"switch","direction","distance","weight","switch_activation","test_num"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.48","59.21481481481482","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.49","59.26353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.5","59.337891737891745","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.51","59.4891737891738","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.52","59.53532763532765","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.52","62.11481481481482","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.53","59.27122507122508","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.54","59.28148148148149","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.55","62.11481481481482","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.56","59.47122507122508","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.56","59.45840455840457","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.57","59.43276353276354","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.58","59.24301994301995","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.59","62.11481481481482","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.6","59.05327635327636","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.6","59.4891737891738","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.61","58.96866096866098","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.62","58.853276353276364","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.63","58.873789173789184","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.64","59.4891737891738","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.65","58.384045584045595","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.66","58.28404558404559","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.66","58.435327635327646","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.67","58.40199430199431","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.68","58.319943019943025","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.69","59.4891737891738","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.7","58.03789173789175","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.71","57.53019943019944","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.72","57.355840455840465","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.73","57.360968660968666","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.74","57.309686609686615","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.75","57.355840455840465","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.76","57.44045584045585","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.76","57.15584045584046","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.78","56.863532763532774","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.78","56.02507122507124","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.8","56.06353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.8","56.20712250712251","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.81","55.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.82","55.47378917378918","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.83","55.268660968660974","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.84","55.16609686609687","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.85","54.90199430199431","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.85","54.814814814814824","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.87","54.59686609686611","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.87","54.20968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.88","53.96096866096867","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.89","53.69943019943021","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.9","53.58148148148149","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.91","53.16866096866098","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.92","52.96096866096867","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.93","52.93019943019944","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.94","52.68148148148149","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.95","62.11481481481482","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.96","52.296866096866104","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.97","51.927635327635336","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.97","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.98","51.56609686609688","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","0.99","51.20712250712251","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1","51.14045584045585","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.01","50.855840455840465","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.02","50.90199430199431","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.03","50.66866096866098","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.04","50.68404558404559","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.04","50.955840455840466","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.05","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.06","50.899430199430206","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.07","50.73532763532764","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.08","50.62763532763534","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.09","50.44814814814816","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.1","50.3917378917379","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.11","50.10968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.12","50.17635327635328","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.13","49.70712250712251","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.14","49.13789173789175","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.15","49.15840455840457","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.16","48.72763532763533","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.17","48.425071225071235","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.18","48.21481481481482","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.19","48.32250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.2","48.01994301994303","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.21","47.78148148148149","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.22","48.00199430199431","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.23","47.50199430199431","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.24","47.1891737891738","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.25","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.26","47.16353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.27","46.796866096866104","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.28","46.66096866096867","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.29","46.807122507122514","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.3","46.809686609686615","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.31","47.01737891737893","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.32","46.47122507122508","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.32","46.65584045584046","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.34","46.41994301994303","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.34","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.36","46.2917378917379","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.37","46.32250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.38","46.16096866096867","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.38","45.899430199430206","0","1"
